ID	Text	Label
0	خیلی کوچیک هستن و سایزشون بدرد نمیخوره میخوام پس بدم	[0. 1. 0. 0. 0. 0. 0.]
1	از صدای پرنده دم دمای صبح متنفرم متنفرم متنفرم	[0. 0. 0. 0. 0. 1. 0.]
2	" ""کیفیتش خیلی خوبه با شک خریدم ولی واقعا راضیم بعد از حدود 2 ماه استفاده«متأسفانه باخبر شدیم» که فردی در ایرانشهر به حداقل 41 دختر تجاوز کرده. امیدواریم با همکاری نمایندگان محترم مجلس و دستگاه قضا، دیگه به این راحتی باخبر نشیم."	[0. 1. 0. 0. 0. 0. 0.]
3	چون همش با دوربین ثبت شده ، ایا میشه اعتراض زد؟؟ و اصن تاثیر داره؟ کسی اگه اطلاعی داره ممنون میشم راهنمایی کنید	[0. 0. 0. 0. 0. 0. 1.]
4	اين وضع ب طرز خنده داري گريه داره ...	[0. 1. 0. 0. 0. 0. 0.]
5	خب من رسما از یک نفر متنفرم،چون از گربه بدش میاد از صبح شروع کرده رو مخ من راه رفتن؛شپش میگیری،کزاز میگیری،کک داره ،درد داره،مرض داره و اینقدر تکرار کرده که تا سرم میخاره میپرم جلوی آینه نگاه میکنم یه وقت شپش نگرفته باشم... عوضی ازش متنفرم بهش گفته بودم منو رو یه چیزی حساس نکن	[0. 0. 0. 0. 0. 1. 0.]
6	داشتم خواب میدیدم یهو توی خواب گفتم بیاین درینک بزنیم خواب ترسناک ببینیم ی پیک زدیم و دقیقا همونطور شد و من با ضربان ۱۱۰ از خواب پریدم و ساعت ۴ صبحه؟ ذهن بیمارتر از منم دیدین؟ ژانر شنگول منگول خوابمو چرا عوض کردم چرااا	[0. 0. 0. 1. 0. 0. 0.]
7	"اصلا ارزش خرید نداره فقط رو مخ میره"""	[0. 0. 1. 0. 0. 0. 0.]
8	اونجایه آدمه مفعول ودروغگو...عجب خرایی داریم واقعا...روز روشن میگه شبه!!!اسم اینوچی میشه گذاشت دیگه؟من دسترسی ندارم بهش میخام بگم یه اسمی خودت بگوبرات بذاریم البته آخرش یه ...کش داشته باشه!	[0. 0. 1. 0. 0. 0. 0.]
9	"من این گوشی رو اعصابم بهم ریخت کوبیدم تودیوار له شده السیدیش اما هنوزم کارمیکنه حرف نداره گوشیش"""	[1. 0. 0. 0. 0. 0. 0.]
10	تا این مفسد فی الارض به سزای اعمالش نرسه و ۲۰۰ هزار تومن جریمه نشه من آروم نمی گیریم #سعید_طوسی	[0. 0. 1. 0. 0. 0. 0.]
11	فاجعه فقط به زیرگرفتن ختم نشده طبق گزارش پزشکی قانونی، حدود۵۰ تیرساچمهای در #سینه یکی از #شهدای_فاطمیه ثبت شده است. #شهید_محمدحسین_حدادیان #دراویش_داعشی وحشی	[0. 1. 0. 0. 0. 0. 0.]
12	اگر در دولت احمدینژاد اتفاق میافتاد انقدر عصبانی نمیشدم؛ اما باید بگویم سایت و اپ #گودریدز در دولت تدبیر و امید #فیلتر شده است. احسنت آقای #روحانی. احسنت وزیرِ جوان؛ آقای #جهرمی . #goodreads   #وحید_آنلاین	[0. 0. 1. 0. 0. 0. 0.]
13	پوست لبمو هرچی میکنم باز کنده میشه و تا ثریا میره. نه اون جور با کیف و لذت. اون جور ترسناک و سوزاننده	[0. 0. 0. 1. 0. 0. 0.]
14	چرا چهار صبح باید مطلب خوندن درباره آمار تجاوز تو دنیا برام انقدر جذابیت پیدا کنه؟؟	[0. 0. 0. 0. 1. 0. 0.]
15	بچه که بودم خواهرم از بانک که میومد چند ساعتی میخوابید بهش اعتراض میکردم چرا انقد میخوابی میگفت تو دنیا هیچی لذت بخش تر از خواب نیست.. الان به حرفش رسیدم	[1. 0. 0. 0. 0. 0. 0.]
16	فردا بالاخره میخوام برم دانشگاه خودمون! اسمشو نبر :)) منتظر کصافط شدن اعصابم توسط کارکنان حراست و خانمهای حجاب هستم	[0. 0. 1. 0. 0. 0. 0.]
17	امروز رفتم پیش آقا رضا چاپ اول کتاب خشم و هیاهوی فاکنر رو گذاشته بود تو حراجی کتابش یکسال از بابای من کوچکتره	[0. 0. 0. 0. 0. 0. 1.]
18	عزیزم مشکل اینجاست که فرهنگمونو باختیم بدم باختیم.	[0. 1. 0. 0. 0. 0. 0.]
19	به نظرم نامه مربوط به #اصلاح_اصلاحات به #سید_محمد_خاتمی صرفا در جهت زدودن افکار و اعمالی است که ما به جریان رقیب انتقاد داریم ولی کسانی با نام اصلاحطلبی اونا رو انجام میدن، وقتی در انتخابات انجمن اسلامی اصلاحطلبِ دانشگاه دست به رد صلاحیت میزنند پس باید این اصلاحات انجامپذیرد.	[0. 0. 0. 0. 0. 0. 1.]
20	فردا پنجشنبه ۴ بهمن یا ۲۴ ژانویه روز جهانی آموزشه. به همین مناسبت #ما_رنگین_کمانیها تصمیم گرفتیم که با هشتگهای #تو_هم_بگو و خشونت_تحصیلی در این باره بنویسیم. شما هم با هر #گرایش_جنسی و #هویت_جنسیتی میتونین با ما همراه بشید. #همجنسگرا #دوجنسگرا #ترنس #رنگینکمانی	[0. 0. 0. 0. 0. 0. 1.]
21	لغات و جملات کلیدی برای حفظ آرامش در زندگی: باشه، اینجور خوشم میاد، نه، نه، خوشم نمیاد، هر جور صلاح میدونی، نمیدونم، دوست ندارم جواب بدم، شخصیه، هر جور راحتی، ترجیح میدم که ...	[0. 0. 0. 0. 0. 0. 1.]
22	میگف بعضیا هم هستن ک دروغ نمیگن ولی فقط همون لحظه رو میگن! مثلا میگن دوستت داررررم واین یعنی الان دوستت دارم برای همین ساعت همین لحظه و فردا؟ نه...	[0. 1. 0. 0. 0. 0. 0.]
23	غلط کرده!!! چنان سونامی خشم ملت آغاز شود که آغا و بیت و نصراله و اسد در این سونامی تکه تکه بشوند!!! حالا متتطر بمانید ! اندکی صبر سحر نزدیک است!	[0. 0. 1. 0. 0. 0. 0.]
24	از بیرون چیزی مشخص نبود ولی وقتی بسته رو باز کردم و پایه رو بیرون آوردم دیدم همه جاش رنگ پریدگی داره. الانم نمیدونم قبول می کنن برگشت بدم یا خیر چون بسته بندی باز شده. به نظرم از این تامیین کننده چیزی نخرید	[0. 1. 0. 0. 0. 0. 0.]
25	گریه میکنم اما از غم نیست. ترکیبی هست از شرمندگی و ترس و .. و سبک میشم.	[0. 1. 0. 0. 0. 0. 0.]
26	دربرابرت هیچ نکردیم رب مهلت دهد اول سلامتی شما دوتا بعدخودم خدمت به شما دعای شما که همیشه میترسم از گمراهی های جامعه دعایم کن	[0. 0. 0. 1. 0. 0. 0.]
27	حامیان نظم موجود:مطمئنی قاتل نبودن؟فتوشاپ نیست؟توباچشم خودت دیدی؟اگر واقعی باشه خوب نیست؟مال دوران خشونت و هرج و مرج سیاسیه!جزو زیاده رویهای خودسرانه بود!برخورددرشرایط جنگی بامتحدین امریکاست!توانقلاب ازاین اتفاقات تلخ میافته!مقصرگروههای مخالفند نه خط امام!لازم باشه بازهم میکنیم.	[0. 0. 0. 0. 0. 0. 1.]
28	یجادیدم نوشته:شعبده بازلبخند،درکلاه درد...عجب جمله ای،بمن که چسبید،دم اونکه اینونوشته،گرم	[1. 0. 0. 0. 0. 0. 0.]
29	انتصاب رئیس جدید قوه قضائیه در آینده نزدیک قطعی است؛ عاجزانه از رئیس تازه نفس میخواهم تا سر و سامانی به نظام اطلاع رسانی فَشَل قوه بدهد؛ شاید تعطیل کردن برخی رسانههای این قوه، مایه تقویت باشد احیای دیدارهای مردمی رئیس وجلوگیری از اظهارات نسنجیده بعضی مسئولان قضایی هم، ضروری است	[0. 0. 0. 0. 0. 0. 1.]
30	شهریوری به شماره شناسنامه ۷۲۱۷، همینقدر ناشناس برای همه و همینقدر جاودانه برای من تولدت مبارک باشه. البته که همینقدر بی پاسخ میمونم و این تبریک رو نخواهی دید!	[0. 1. 0. 0. 0. 0. 0.]
31	حالا همینا که به گوگوش گیر دادن ب مکرون رئیس جمهور فرانسه میگفتن عجب حرکت خفنی زده با یکی ۲۰ سال بزرگتر از خودش ازدواج کرده ، تازه گوگوش خیلی خوشگل تر و جذاب تر از زن مکرونه	[0. 0. 0. 0. 1. 0. 0.]
32	بعضیا هم از اونور بوم افتادن و سال نو میلادی رو فقط به دوستان مسیحیشون تبریک گفتن!!! سال نو واسه همه و همه جاست عزیز جان :)	[0. 0. 0. 0. 0. 0. 1.]
33	چقدر خوشحال شدم سرگروه این تیمه تو برنامه شب جمعه من و تو اون دختره نیست... رو اعصابم بود	[1. 0. 0. 0. 0. 0. 0.]
34	اعصابم کیری تر از اون چیزیه که فکرشو بکنی	[0. 0. 1. 0. 0. 0. 0.]
35	آه، آتش! نکند شعله بگیری زیرا مادرم فاطمه بسیار به در نزدیک است لب نکن باز به نفرین که همه میدانند نالهی سوخته جانان به اثر نزدیک است آخرِ قصهی تلخِ تو ولی شیرین است وعده دادند به ما وقتِ سحر نزدیک است سید علی محمد نقیب #فاطمیه #اللهم_عجل_لولیک_الفرج	[0. 1. 0. 0. 0. 0. 0.]
36	این کلیپ محجبه شدن شاخ های اینستاگرام رو می بینم همش اين جمله میاد تو ذهنم که وقتی می خوای یه چیزیو نابود کنی یا هوشمندانه بهش حمله کن یا احمقانه ازش دفاع کن	[0. 0. 0. 0. 0. 0. 1.]
37	کاش یه روز که دارم سیگار میکشم یه پیرمرد بیاد بگه پسرم نکش ضرر داره.منم یه نگاه بهش بکنمو بگم باشه و سیگارو زیر پام له کنم.اونم بگه افرین بیا این یه میلیارد مال تو *_*	[0. 0. 0. 0. 0. 0. 1.]
38	تفریح با خانواده یعنی من گاییده شدن اعصابم را دوست دارم.	[0. 0. 1. 0. 0. 0. 0.]
39	شرط می بندم حالا که دیگه در برابر افزایش نرخ ارز و طلا سِر شدیم, مسئولان تو فکرن که چجوری به مردم شوک جدید وارد کنیم تا بیشتر تو احساس بدبختی غرق بشن.	[0. 1. 0. 0. 0. 0. 0.]
40	عزیزان آیا مستندی با موضوع جنگ دیدین که به شدت تکونتون داده باشه؟ #ریتوییت هم بکنین که عالی میشه.	[0. 0. 0. 0. 0. 0. 1.]
41	من هنوز یادمه. یکی از دلایلی که مردم قشون قشون به خاتمی رای میدادن، ترس از رییس جهور شدن ناطق نوری بود. آدمها عوض میشن. موضع آدمها و سطح استفاده از منطقشون هم همینطور. حتی اگه به خاطر منافع شخصیشون باشه. عوض میشن …	[0. 0. 0. 1. 0. 0. 0.]
42	لعنت به اون روبالشی که پاکتش روی کار دوخته شده. …	[0. 0. 0. 0. 0. 1. 0.]
43	به توییتر حس خیلی خوبی دارم اینجا خودمم خود واقعیم هیچ ترسی از قضاوت شدن ندارم لزومی برا پنهان کاری نیس لازم نیس حرفامو ( هرچقدم گاهی چرت و رو مخ باشن ) قورت بدم برعکس اینستا که حس میکنم هزار نفر چارچشمی زل زدن بهم ! اینستاگرامم به طرز وحشتناکی تهوع آور شده	[0. 0. 0. 0. 0. 1. 0.]
44	دوستت دارم ولی این ماهِ دی را صبر کن...! کافه گردی ها بماند بعدِ فصلِ امتحان...! صادق ابراهیم زاده	[0. 0. 0. 0. 0. 0. 1.]
45	چند سال است یک حرکت موذیانهای شروع شده در تطهیر رژیم طاغوت، رژیم پهلوی. هدفش این است که یک جوان امروز بگوید «عجب! اینها آدمهای بدی نبودند، اوضاع بدی نبود؛ پس چرا انقلاب کردید؟». اصلاً همه برمیگردد به مسئله زیر سؤال بردن انقلاب؛ اینها از خارج دارد انجام میگیرد.	[0. 0. 0. 0. 0. 0. 1.]
46	من سعی کردم در انتخاب کلمات دقت کنم و بخاطر همین از کلمهی «انتقاد» استفاده کردم، یعنی اینکه نظری رو دارم تایید (endorse) میکنم که باهاش موافق هستم، و البته مخالف یک سری از نظرهای دیگه است (بخاطر همین انتقاد)؛ ولی قضاوتی در مورد درستی یا نادرستی هیچکدوم انجام نمیدم. …	[0. 0. 0. 0. 0. 0. 1.]
47	یه پروژه ی سخت دیگه هم با موفقیت تموم شد . بریم برای سونا و چکوزی که بشوره و ببره :)	[1. 0. 0. 0. 0. 0. 0.]
48	"کیفیت صداش فوق العادس، فعالیت ورزشی رو هم با نصب نرم افزارهاش تحت نظر میگیره. تو شگفت انگیز مناسبه"""	[0. 0. 0. 0. 0. 0. 1.]
49	بعد الان که فکر میکنم میبینم رزومه ندم بهتره اصلا ،چون حتی مصاحبه بدم و ... نمیتونم برم فکر کنم! نمیدونما.حالا روش فکر مینمایم:))	[0. 0. 0. 0. 0. 0. 1.]
50	درود بر شرف شما دکتر سعید سکویی، حرف دل ما را میزنید دوستان اگر تاکنون نمیدانستید از اکنون بدانید چنانچه شما در هر رای گیری و انتخابات رژیم شرکت کنید، فردا این کشورهای گرگ همسایه و یا اروپایی همان انتخابات را دلیل بر مشروعیت نظام میکنند و کار ما برای پس گرفتن حق خود دشوارتر میشود	[0. 1. 0. 0. 0. 0. 0.]
51	دلت همیشه شاد بهاری باشه عزیزم❤️❤️❤️❤️	[1. 0. 0. 0. 0. 0. 0.]
52	چرا یه دختر باید به حدی از تنفر رسیده باشه که بگه از همه پسرها متنفرم کاش با هم در صلح و محبت بودیم این نگاه خیلی ترسناک	[0. 0. 0. 0. 0. 1. 0.]
53	بینهایت بد .اصلا یشنهاد نمیکنم.تازه گرفتم و با اونی که تو سایته خیلی فرق داره حداقل از لحاظ ظاهری.میخوام عودت بدم..	[0. 1. 0. 0. 0. 0. 0.]
54	حالا اون انتخابهای بین بد و بدتر خیلی از رای دهندگان که داستان جدایی بوده و ارتباط چندانی به این موضوع امیدِ به موفقیت اصلاحاتی پایدار در ساختار حکومتی ایران نداشت.	[0. 0. 0. 0. 0. 0. 1.]
55	میخوام یه فحش رو بذارم کنار امروز فهمیدم فقط تو رانندگی اونم وقتی اعصابم رو خورد میکنن میگم!چیکار کنم؟؟؟ پ ن: فحشش خیلی زشته	[0. 0. 1. 0. 0. 0. 0.]
56	تو توییتر نسبت به دونفر حس تنفر شدیدی دارم و با افتخار بلاکشون کردم یکیشون خانوم اند و فوق العاده خودخواه و از خود راضی اونیکی هم یه اقای به ظاهر انقلابی بی ادب که تهمت بدی به بنده زدند	[0. 0. 0. 0. 0. 1. 0.]
57	معلومه که آقایون باید ناراحت باشن چونکه اصن این حرفها به نفعشون نیست .اما همین آقایون همین حرفهارو واسه دخترای خودشون صادق میدونن	[0. 0. 0. 0. 0. 0. 1.]
58	دلم تنگ شده واسه دوستت دارم گفتن های بی هوات	[0. 1. 0. 0. 0. 0. 0.]
59	بعد از اینکه به دستم رسید چون راضی بودم میخواستم یکی دیگه سفارش بدم ولی دیدم قیمتش رفته بالاعجب عکس پرمعنایی مردم، زیر چتر امنیتی که موشکهای بالستیک برای کشور ایجاد کردهاند، در راهپیمایی 22 بهمن حضور یافتهاند عقلانی است که این توان مهم را به چوب حراج مذاکره بگذاریم؟ #۲۲بهمن_تماشایی #22Bahman	[0. 0. 0. 0. 1. 0. 0.]
60	گفته بودم من کلا فیلم ترسناک نمیبینم؟	[0. 0. 0. 1. 0. 0. 0.]
61	از تمام کسانی که دوستشان دارم میترسم، میترسم که بمیرند	[0. 0. 0. 1. 0. 0. 0.]
62	تصویر جنجال برانگیز مسئولان خوزستان	[0. 0. 0. 0. 0. 0. 1.]
63	سانحه تلخ و دلخراش سقوط هواپیمای مسافربری تهران-یاسوج که به جان باختن ۶۶ نفر از مسافران و خدمه آن منجر شد، من را نیز بسیار اندوهگین کرد. این غم بزرگ را به همه مردم #ایران و به ویژه خانوادههای قربانیان این سانحه تسلیت میگویم و برای آنها آرامش و شکیبایی آرزو میکنم.	[0. 1. 0. 0. 0. 0. 0.]
64	الان خیلی جدی فهمیدم از پیر شدن بیشتر از مرگ میترسم	[0. 0. 0. 1. 0. 0. 0.]
65	شب چهارشنبه آخر سال فرصتی است ویژه که در کنار پاسداشت آیینی ملی و در جمع خانواده، تجربهی ارزشمند شادی جمعی و ایمن را به فرزندانمان بیاموزیم.	[1. 0. 0. 0. 0. 0. 0.]
66	"این یک نظریه است که رولف دوبلی در کتاب ""هنر خوب زیستن"" به آن ""ovarian lottery"" یا ""لاتاری تخمدانی"" میگوید طی نظرسنجی مردم به طور میانگین فکر میکنند ۶۰درصد موفقیت کار خودشان بوده و ۴۰درصد کار شانس، در حالیکه به اعتقاد آقای دوبلی نسبت واقعی چیزی نزدیک به ۹۴ به ۶، به نفع شانس است …"	[0. 0. 0. 0. 0. 0. 1.]
67	شعله ور شدن و ترکیدن باتری های غیر استاندارد در فشارجیب یا گرما میتواند به این شکل حادثه آفرین شود. دیجیاتو	[0. 0. 0. 0. 0. 0. 1.]
68	سکه حبابی است که به دور دلار پیچیده شده و این حباب آدامسی است که مسئولان نالایق نشخوار کرده اند. #دلار #سکه #تورم #دولت #مجلس #ژن_خوب	[0. 0. 1. 0. 0. 0. 0.]
69	سمت مخاطب نامهای که دارم روش کار میکنم این بود: جناب آقای فلانی! مدیر کل محترم توسعهٔ صادرات، امور گمرکی و ارزشافزودهٔ معاونت تولید، صادرات و فناوری دبیرخانهٔ شورای عالی مناطق آزاد تجاری صنعتی و ویژهٔ اقتصادی!	[0. 0. 0. 0. 0. 0. 1.]
